Equipa:Boavista FC,1903-08-01
CDM:Fábio Espinho,33,1,75,3,66,82,76,83,81,58,68,44,23,46,54,58,60,60,11,11,10
CB:Ricardo Costa,38,2,74,2,63,65,92,45,77,32,91,55,53,43,44,19,15,19,54,62,66
CDM:Idris,34,3,74,2,76,65,84,81,57,89,75,19,13,21,52,24,27,23,9,16,16
ST:Heriberto Tavares,22,4,79,1,79,75,75,82,56,74,63,53,28,31,37,65,58,53,14,6,6
ST:Mateus,35,5,72,3,71,72,76,74,55,65,70,55,24
CDM:Bueno,31,6,72,3,74,79,53,34,57,77,36,58,48,37,34,15,15,16,12,11,6
GK:Bracali,38,7,72,1,45,79,31,69,17,29,21,5,37,12,21,31,32,36,6,8,13
CDM:Gustavo Sauer,26,8,72,3,70,73,64,82,66,59,42,55,26,42,48,12,16,17,12,6,14
CDM:Perdigão,27,9,72,3,68,75,41,67,64,71,58,33,16,48,41,54,30,37,14,11,9
RB:Carraça,26,10,74,1,74,71,77,79,78,65,69,80,77,73,79,60,53,50,8,10,14
GK:Helton Leite,28,11,73,1,51,42,25,53,13,22,11,46,75,69,67,55,58,55,7,14,12
CB:Neris,27,12,72,2,60,68,72,90,34,83,67,22,65,46,52,68,27,12,18,87,92
CDM:N. Obiora,27,13,71,2,74,85,88,88,58,82,65,29,64,63,45,82,55,83,77,78,77
CDM:Rafael Costa,28,14,71,3,73,60,78,55,80,69,77,65,52,61,64,88,86,86,9,11,7
RB:Edu Machado,29,15,71,3,71,73,75,62,36,76,69,61,41,36,37,82,85,59,84,74,78
ST:Y. Njie,25,16,75,3,59,73,60,74,73,61,58,56,58,65,45,75,85,85,80,9,11
CB:Lucas Tagliapietra,28,17,70,2,38,53,68,91,21,76,69,53,56,46,65,84,68,80,55,59,63
ST:N. Stojiljković,26,18,70,3,71,71,69,70,63,73,41,60,60,40,55,37,14,20,4,5,4
CB:Marlon,22,19,77,3,56,60,70,64,35,65,64,39,30,63,54,83,58,39,30,11,13
ST:Cassiano,30,20,67,2,72,63,41,71,61,61,14,15,54,22,58,80,55,74,58,53,44
ST:I. Bulos,26,21,68,3,67,70,65,80,58,52,24,45,45,23,45,78,49,75,79,83,81
CB:G. Dulanto,23,22,72,2,50,31,61,91,28,64,62,52,52,66,39,86,83,83,14,13,14
CB:W. Clar,24,23,70,2,29,61,76,64,28,75,57,60,54,55,44,75,81,82,67,6,10
CDM:F. Cardozo,18,24,73,4,73,40,73,57,38,52,17,54,55,58,52,20,14,18,79,82,78
GK:João Gonçalves,18,25,73,1,43,45,20,54,8,24,12,52,34,50,47,84,77,68,82,30,42
CDM:Paulinho,63,26,3,81,74,54,63,47,46,41,56,58,51,51,76,80,80,13,8,10,
CB:Breno,19,27,71,2,31,56,71,58,28,54,51,48,54,31,33,79,80,72,13,6,6
CDM:Y. Ackah,20,28,69,3,63,67,67,37,43,63,56,41,49,64,43,80,66,73,75,82,79
CDM:Tomás Reymão,20,29,73,3,57,70,63,40,80,54,56,15,50,19,29,67,79,81,77,15,11
Equipa:CD Aves,1930-11-12
CDM:Cláudio Falcão,24,1,79,3,67,78,83,89,69,66,75,58,52,43,67,69,54,48,42,12,10
ST:Kahraba,25,2,77,4,78,67,66,73,70,74,69,58,48,37,40,60,60,63,66,10,8
GK:Q. Beunardeau,25,3,76,1,47,71,27,58,14,29,15,86,70,51,45,23,12,12,10,9,5
CB:Afonso Figueiredo,26,4,74,3,74,75,75,52,34,74,72,60,59,61,45,72,68,71,67,6,8
ST:M. Mohammadi,25,5,73,5,86,77,71,70,76,45,65,41,59,55,46,64,67,66,11,6,6
CDM:E. Zidane,24,6,75,1,75,62,71,67,31,63,59,59,60,63,52,55,70,33,26,21,6
CDM:Rúben Oliveira,24,7,75,3,84,70,64,52,41,60,66,20,30,24,41,64,66,68,10,9,10
RB:M. Miloš,26,8,71,3,63,59,78,65,61,68,65,42,43,41,44,66,68,66,12,7,9
CDM:Rúben Macedo,23,9,74,3,85,70,70,66,52,67,46,24,54,57,52,67,67,65,65,5,11
CB:Bruninho,25,10,71,2,66,60,73,38,54,58,58,4,45,15,37,67,67,65,10,6,14
CB:A. Mehremić,27,11,69,2,26,57,62,87,27,72,57,54,58,70,45,20,16,16,66,68,60
ST:Welinton Júnior,26,12,67,3,79,72,64,65,42,61,29,38,67,74,63,57,58,61,60,7,9
CDM:Estrela,23,13,76,2,80,72,81,83,65,43,82,74,64,65,65,53,60,65,62,13,14
ST:Erik,24,14,73,3,65,76,61,35,62,53,13,22,14,45,27,48,55,61,62,58,11
CB:A. Šimunec,24,15,69,2,49,71,61,81,28,56,62,73,72,36,47,55,58,63,63,10,11
GK:Fábio,29,16,67,1,44,51,30,73,20,25,22,60,60,47,70,64,10,20,17,81,75
ST:Miguel Tavares,20,17,75,3,64,52,62,30,48,46,18,75,50,60,38,77,75,82,30,31,18
GK:Raphael Aflalo,22,18,73,1,50,32,31,66,9,23,7,65,49,62,61,78,78,75,9,11,16
CB:A. Dźwigała,23,19,71,2,56,77,74,72,49,64,61,62,56,51,69,45,36,72,79,76,78
ST:Ricardo Rodrigues,24,20,69,3,66,81,51,50,62,46,24,77,59,67,54,65,78,57,62,61,8
ST:Peu,26,21,66,4,69,73,58,58,65,52,41,69,58,68,68,66,84,70,69,63,16
CB:Bruno Jesus,22,22,71,2,40,70,61,71,26,67,58,70,90,65,42,44,29,23,15,16,14
CDM:A. Yamga,22,23,70,3,53,61,45,51,74,53,30,65,67,56,65,76,29,34,31,10,7
CB:Ricardo Mangas,21,24,72,2,31,60,64,36,33,59,54,63,49,50,46,46,52,38,8,6,11
CDM:Bruno Xavier,22,25,67,3,66,54,55,64,49,44,24,35,36,38,52,78,66,75,70,11,15
Equipa:CD Tondela,1933-06-06
GK:Cláudio Ramos,27,1,80,1,75,65,49,76,44,77,16,29,33,32,53,65,28,17,12,8,13
ST:Xavier,26,2,73,3,76,76,74,71,50,79,60,74,57,49,65,68,58,73,75,8,8
CB:J. Murillo,23,3,81,1,93,93,72,91,74,69,73,26,56,35,38,15,17,18,72,73,71
ST:Denilson,23,4,76,3,57,66,64,75,68,55,68,35,51,52,51,68,41,49,42,11,10
CB:Philipe Sampaio,24,5,73,2,48,62,70,90,35,71,67,29,26,31,37,62,72,70,13,16,11
CB:Yohan Tavares,31,6,69,2,47,61,72,76,40,72,69,28,52,57,42,15,13,12,70,66,71
CB:Filipe Ferreira,28,7,69,3,66,73,72,61,51,65,68,55,42,53,42,66,65,68,70,15,12
CDM:Jaquité,23,8,76,2,61,85,85,44,54,83,68,30,42,59,55,55,35,25,31,6,12
CB:João Vigário,23,9,72,3,64,70,67,75,66,72,70,36,35,36,41,63,70,68,11,16,7
ST:R. Castillo,27,10,68,2,63,69,58,65,65,45,12,6,19,16,21,53,64,69,70,14,7
CDM:Bruno Monteiro,34,11,67,3,72,74,72,73,62,62,74,4,35,11,24,59,59,63,66,70,12
CB:Ricardo Alves,28,12,67,2,49,91,62,74,40,69,63,65,68,64,59,59,50,65,51,8,15
CDM:Pepelu,20,13,80,3,61,60,42,63,59,65,48,12,61,72,63,66,43,36,36,7,7
ST:Richard Rodrigues,19,14,78,3,71,54,59,49,64,46,28,68,52,62,74,64,55,70,64,15,11
RB:F. Moufi,23,15,74,2,59,74,67,70,42,74,61,26,43,41,57,15,14,20,62,66,57
CB:Bruno Wilson,22,16,74,2,46,65,61,79,26,66,63,13,65,56,66,55,61,63,13,9,9
ST:T. Štrkalj,22,17,73,2,74,72,45,66,65,29,15,23,10,38,43,61,45,27,27,8,12
RB:Manu Sánchez,23,18,71,2,31,61,59,58,31,66,59,15,68,58,74,20,14,11,56,55,53
CB:Pité,24,19,70,2,51,77,63,65,72,47,65,68,40,58,52,40,72,75,66,68,30
CDM:João Pedro,26,20,69,3,72,78,73,74,62,68,73,4,46,21,46,65,35,39,41,10,12
GK:Pedro Silva,22,21,77,1,44,64,19,53,5,28,8,68,64,57,56,76,69,62,66,69,66
GK:Diogo Silva,26,22,67,1,47,52,22,47,6,18,13,60,68,55,50,53,20,13,12,67,74
CB:João Reis,27,23,64,2,78,48,69,66,61,40,58,26,27,31,48,46,59,70,72,67,15
ST:J. Toro,22,24,72,1,59,76,70,53,51,55,50,55,64,56,48,71,74,71,12,15,6
CB:Jota Gonçalves,19,25,71,2,47,71,61,67,25,63,56,66,57,41,50,65,65,75,63,15,8
